,sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,possui_celular,possui_fone_comercial,possui_fone,possui_email,qt_pessoas_residencia,mau
11901,M,N,N,0,Working,Secondary / secondary special,Married,House / apartment,51.05479452054794,23.67945205479452,1,0,0,0,2.0,False
11903,F,Y,N,0,Working,Higher education,Married,With parents,28.698630136986303,4.909589041095891,1,1,1,0,2.0,False
11906,F,N,N,1,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,34.63013698630137,1.093150684931507,1,0,0,0,3.0,False
11907,F,N,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,58.61917808219178,-1000.6657534246576,1,0,0,0,2.0,False
11908,M,N,N,2,Working,Secondary / secondary special,Married,Rented apartment,39.391780821917806,3.328767123287671,1,1,0,0,4.0,False
11910,M,N,N,1,Commercial associate,Secondary / secondary special,Married,House / apartment,30.947945205479453,1.991780821917808,1,1,1,0,3.0,False
11913,F,N,N,0,Working,Higher education,Married,House / apartment,55.30958904109589,1.0767123287671232,1,0,0,0,2.0,False
11914,M,N,N,0,Working,Secondary / secondary special,Separated,House / apartment,30.945205479452056,12.167123287671233,1,0,0,0,1.0,False
11915,M,Y,N,1,Working,Secondary / secondary special,Married,House / apartment,43.76438356164383,13.334246575342464,1,0,0,1,3.0,False
11918,F,N,N,0,Working,Higher education,Married,House / apartment,26.484931506849318,3.665753424657534,1,0,0,0,2.0,False
11921,M,N,N,0,Working,Secondary / secondary special,Married,House / apartment,40.35068493150685,0.8301369863013699,1,1,0,0,2.0,False
11922,F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,43.61917808219178,22.09041095890411,1,1,0,0,2.0,False
11924,F,Y,N,1,Commercial associate,Higher education,Civil marriage,With parents,27.21095890410959,1.83013698630137,1,0,1,1,3.0,False
11928,M,Y,N,0,Commercial associate,Secondary / secondary special,Separated,House / apartment,41.65205479452055,5.665753424657535,1,1,0,0,1.0,False
11932,M,N,N,0,State servant,Secondary / secondary special,Married,House / apartment,41.391780821917806,0.5780821917808219,1,1,1,0,2.0,False
11936,F,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,52.32054794520548,9.668493150684933,1,0,0,0,2.0,False
11938,F,Y,N,0,Working,Incomplete higher,Married,With parents,24.975342465753425,1.906849315068493,1,1,1,0,2.0,False
11940,F,Y,Y,2,State servant,Higher education,Married,House / apartment,32.413698630136984,10.35068493150685,1,1,1,0,4.0,False
11942,M,N,N,0,Working,Secondary / secondary special,Married,House / apartment,38.69041095890411,0.5123287671232877,1,0,0,1,2.0,False
11944,M,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,57.03013698630137,1.326027397260274,1,0,0,0,2.0,False
11947,F,N,Y,0,Pensioner,Secondary / secondary special,Widow,House / apartment,61.69041095890411,-1000.6657534246576,1,0,0,0,1.0,False
11952,F,N,Y,2,Working,Secondary / secondary special,Married,House / apartment,38.31506849315068,6.413698630136986,1,0,0,0,4.0,False
11955,M,Y,N,2,Working,Secondary / secondary special,Married,House / apartment,41.66301369863014,8.76986301369863,1,0,0,0,4.0,False
11958,F,N,N,0,State servant,Higher education,Civil marriage,Municipal apartment,49.704109589041096,8.331506849315069,1,0,1,0,2.0,False
11959,F,Y,N,2,Working,Higher education,Married,House / apartment,33.85753424657534,8.265753424657534,1,1,0,0,4.0,False
11963,M,Y,N,0,State servant,Higher education,Married,Municipal apartment,30.457534246575342,7.331506849315068,1,0,0,0,2.0,False
11967,F,N,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,54.14794520547945,19.024657534246572,1,0,0,0,2.0,False
11970,F,N,N,0,Commercial associate,Higher education,Married,House / apartment,35.967123287671235,5.6,1,0,0,0,2.0,False
11971,M,N,N,0,Working,Secondary / secondary special,Married,House / apartment,58.5972602739726,5.013698630136986,1,0,0,0,2.0,False
11973,M,N,Y,0,Working,Secondary / secondary special,Single / not married,House / apartment,43.4,3.843835616438356,1,0,1,0,1.0,False
11974,M,Y,Y,2,Working,Secondary / secondary special,Married,House / apartment,28.58904109589041,8.183561643835617,1,0,0,0,4.0,False
11982,F,Y,Y,1,Working,Higher education,Married,House / apartment,36.895890410958906,1.0767123287671232,1,0,0,0,3.0,False
11986,F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,64.06301369863014,9.183561643835615,1,0,1,0,2.0,False
11989,M,N,Y,1,Pensioner,Secondary / secondary special,Married,House / apartment,44.72054794520548,-1000.6657534246576,1,0,1,0,3.0,False
11990,M,Y,Y,0,Working,Higher education,Married,House / apartment,57.01095890410959,14.084931506849315,1,0,0,0,2.0,False
11994,M,Y,Y,0,Working,Secondary / secondary special,Separated,House / apartment,50.71780821917808,0.5780821917808219,1,1,1,0,1.0,False
11997,M,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,37.48219178082192,3.246575342465753,1,0,0,0,2.0,False
11999,M,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,39.71232876712329,9.602739726027398,1,0,1,0,2.0,False
12002,M,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,52.32602739726028,9.35068493150685,1,0,0,0,2.0,False
12005,M,Y,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,47.67397260273973,8.490410958904109,1,0,1,0,2.0,False
12007,F,Y,Y,0,Working,Secondary / secondary special,Widow,House / apartment,56.945205479452056,4.32054794520548,1,0,0,0,1.0,False
12010,F,N,Y,0,State servant,Secondary / secondary special,Married,House / apartment,48.45753424657534,29.16986301369863,1,1,1,0,2.0,False
12011,M,N,Y,1,Working,Secondary / secondary special,Married,House / apartment,35.36986301369863,0.9835616438356164,1,0,1,0,3.0,False
12015,F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,29.186301369863013,8.238356164383562,1,0,1,0,2.0,False
12016,M,Y,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,61.175342465753424,-1000.6657534246576,1,0,0,0,2.0,False
12018,F,N,Y,1,Working,Higher education,Married,House / apartment,31.78630136986301,3.9863013698630136,1,0,0,0,3.0,False
12021,F,N,Y,0,Working,Higher education,Single / not married,House / apartment,42.73424657534247,21.33150684931507,1,1,1,0,1.0,False
12022,M,Y,N,0,Commercial associate,Higher education,Married,House / apartment,41.14794520547945,18.328767123287676,1,0,0,0,2.0,False
12023,M,Y,Y,1,Working,Secondary / secondary special,Married,House / apartment,38.8027397260274,6.068493150684931,1,0,0,0,3.0,False
12026,M,Y,Y,0,Working,Higher education,Married,House / apartment,53.64109589041096,2.8164383561643835,1,0,1,0,2.0,False
12027,F,Y,Y,1,Working,Higher education,Married,House / apartment,29.172602739726027,3.816438356164384,1,1,1,0,3.0,False
12033,M,Y,Y,0,Working,Higher education,Married,Rented apartment,29.046575342465754,1.3178082191780822,1,0,0,0,2.0,False
12036,F,N,Y,2,Working,Higher education,Married,House / apartment,30.87123287671233,12.493150684931509,1,1,0,0,4.0,False
12037,F,Y,N,1,Working,Higher education,Married,With parents,30.024657534246572,5.153424657534247,1,0,0,0,3.0,False
12041,F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,51.706849315068496,33.33972602739726,1,1,1,1,2.0,False
12044,F,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,47.821917808219176,7.238356164383561,1,0,0,0,2.0,False
12047,F,N,Y,2,Working,Secondary / secondary special,Married,House / apartment,26.54794520547945,6.32054794520548,1,1,1,0,4.0,False
12049,F,N,Y,0,State servant,Higher education,Married,House / apartment,51.95616438356164,23.756164383561643,1,0,1,0,2.0,False
12050,M,Y,Y,0,Commercial associate,Higher education,Civil marriage,House / apartment,28.32328767123288,2.654794520547945,1,0,1,1,2.0,False
12051,F,N,Y,2,Working,Secondary / secondary special,Married,House / apartment,37.84657534246576,0.6547945205479452,1,0,1,0,4.0,False
12054,F,N,Y,0,Commercial associate,Higher education,Married,House / apartment,53.96712328767124,12.167123287671233,1,0,1,0,2.0,False
12056,F,N,Y,0,State servant,Secondary / secondary special,Civil marriage,House / apartment,35.45753424657534,8.912328767123288,1,0,0,0,2.0,False
12060,F,N,N,0,Working,Secondary / secondary special,Married,With parents,44.33424657534247,7.745205479452054,1,1,1,0,2.0,False
12068,F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,45.983561643835614,5.994520547945205,1,0,0,1,2.0,False
12073,F,N,N,1,Commercial associate,Secondary / secondary special,Married,House / apartment,33.61369863013699,1.6547945205479453,1,0,0,0,3.0,False
12075,F,N,Y,0,Working,Secondary / secondary special,Single / not married,House / apartment,54.31780821917808,7.912328767123288,1,0,0,1,1.0,False
12081,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,58.55890410958904,-1000.6657534246576,1,0,0,0,2.0,False
12087,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,47.14246575342466,7.66027397260274,1,0,0,0,1.0,False
12091,F,N,N,1,Working,Secondary / secondary special,Married,House / apartment,40.276712328767125,11.32876712328767,1,0,0,0,3.0,False
12092,F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,51.61917808219178,11.413698630136986,1,1,1,0,2.0,False
12094,M,Y,Y,0,Working,Higher education,Married,House / apartment,50.23287671232877,7.66027397260274,1,0,0,0,2.0,False
12102,F,Y,N,1,Commercial associate,Higher education,Married,House / apartment,30.2054794520548,5.657534246575342,1,1,1,1,3.0,False
12115,M,Y,Y,0,Pensioner,Higher education,Married,House / apartment,63.59178082191781,-1000.6657534246576,1,0,0,0,2.0,False
12120,F,Y,Y,0,Working,Secondary / secondary special,Single / not married,House / apartment,30.95342465753425,12.915068493150685,1,1,0,0,1.0,False
12123,M,Y,Y,1,Working,Secondary / secondary special,Married,House / apartment,45.66027397260274,12.243835616438355,1,0,1,0,3.0,False
12124,M,Y,Y,1,Working,Secondary / secondary special,Married,House / apartment,45.66027397260274,12.243835616438355,1,0,1,0,3.0,True
12126,M,N,Y,0,Pensioner,Higher education,Married,House / apartment,53.78356164383562,-1000.6657534246576,1,0,0,0,2.0,False
12128,F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,40.72876712328768,16.416438356164385,1,0,0,0,2.0,False
12132,F,N,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,27.38082191780822,3.90958904109589,1,0,0,1,2.0,False
12133,M,Y,Y,0,Working,Higher education,Married,House / apartment,52.58904109589041,29.293150684931508,1,0,0,1,2.0,False
12134,F,N,Y,0,Pensioner,Secondary / secondary special,Widow,House / apartment,65.1945205479452,-1000.6657534246576,1,0,1,0,1.0,False
12135,F,N,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,51.66027397260274,19.534246575342465,1,0,0,0,2.0,False
12136,F,Y,N,1,Working,Secondary / secondary special,Civil marriage,House / apartment,33.917808219178085,5.780821917808219,1,0,0,0,3.0,False
12137,F,Y,Y,0,Working,Secondary / secondary special,Single / not married,House / apartment,57.942465753424656,7.358904109589041,1,0,0,0,1.0,False
12138,F,Y,Y,0,State servant,Higher education,Married,House / apartment,50.41095890410959,27.53972602739726,1,0,0,1,2.0,False
12139,F,Y,Y,0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,51.64931506849315,3.271232876712329,1,0,0,0,1.0,False
12140,F,N,Y,0,Working,Secondary / secondary special,Civil marriage,House / apartment,48.37534246575343,9.123287671232877,1,0,0,0,2.0,False
12141,F,N,Y,0,Pensioner,Secondary / secondary special,Separated,House / apartment,64.85479452054794,-1000.6657534246576,1,0,0,0,1.0,False
12142,F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,54.397260273972606,2.4465753424657533,1,0,0,0,2.0,False
12143,M,Y,N,0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,31.82191780821918,5.528767123287671,1,0,0,0,2.0,False
12144,F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,53.057534246575344,1.1835616438356165,1,0,0,0,2.0,False
12145,F,N,Y,2,State servant,Secondary / secondary special,Married,House / apartment,37.95616438356164,1.1205479452054794,1,0,0,0,4.0,False
12146,F,N,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,48.08493150684932,3.276712328767123,1,0,0,0,2.0,False
12147,F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,45.32876712328767,6.109589041095891,1,0,0,0,2.0,False
12148,M,N,N,1,State servant,Secondary / secondary special,Married,House / apartment,37.14794520547945,13.276712328767124,1,0,0,0,3.0,False
12150,F,Y,N,0,Working,Higher education,Married,House / apartment,42.72876712328768,1.2684931506849315,1,0,0,1,2.0,False
12151,F,N,Y,0,Working,Higher education,Married,House / apartment,50.04109589041096,5.786301369863014,1,0,1,1,2.0,False
12152,M,N,Y,0,Commercial associate,Higher education,Married,House / apartment,33.33424657534247,2.194520547945205,1,0,1,1,2.0,False
12153,F,N,Y,0,State servant,Higher education,Married,House / apartment,50.16164383561644,31.046575342465754,1,1,0,0,2.0,False
12154,F,Y,N,2,State servant,Secondary / secondary special,Married,House / apartment,38.97808219178082,6.024657534246575,1,0,0,0,4.0,False
12155,F,N,Y,0,Commercial associate,Secondary / secondary special,Widow,House / apartment,58.64931506849315,10.62191780821918,1,1,0,0,1.0,False
12156,M,Y,Y,3,Working,Secondary / secondary special,Married,House / apartment,35.846575342465755,4.276712328767124,1,0,0,1,5.0,False
12157,F,Y,Y,0,Working,Higher education,Married,House / apartment,48.64931506849315,13.95890410958904,1,0,1,0,2.0,False
12158,M,Y,N,2,Working,Secondary / secondary special,Married,House / apartment,43.61917808219178,4.52054794520548,1,0,0,0,4.0,False
12159,M,Y,Y,1,Working,Higher education,Married,House / apartment,37.55616438356165,0.2657534246575342,1,0,0,0,3.0,False
12160,F,Y,Y,1,Working,Secondary / secondary special,Separated,House / apartment,44.02465753424657,2.104109589041096,1,0,0,0,2.0,False
12161,F,N,Y,0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,61.40821917808219,-1000.6657534246576,1,0,0,0,1.0,False
12162,M,Y,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,50.12328767123287,-1000.6657534246576,1,0,1,0,2.0,False
12163,F,Y,Y,0,Pensioner,Higher education,Married,House / apartment,67.95890410958904,-1000.6657534246576,1,0,0,0,2.0,False
12164,F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,36.78630136986301,7.358904109589041,1,0,0,0,2.0,False
12165,F,N,N,2,Working,Secondary / secondary special,Married,House / apartment,32.679452054794524,0.8547945205479452,1,0,0,1,4.0,False
12166,M,Y,Y,0,Working,Higher education,Married,House / apartment,29.46575342465753,9.183561643835615,1,0,0,0,2.0,False
12167,M,Y,Y,1,Working,Secondary / secondary special,Married,House / apartment,34.09041095890411,4.432876712328767,1,0,0,0,3.0,False
12168,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,59.33424657534247,-1000.6657534246576,1,0,0,0,2.0,False
12169,F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,51.52054794520548,29.28219178082192,1,0,1,0,2.0,False
12170,M,N,N,0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,41.84657534246576,-1000.6657534246576,1,0,0,0,1.0,False
12171,F,N,N,0,Working,Secondary / secondary special,Civil marriage,House / apartment,50.824657534246576,14.10958904109589,1,1,1,0,2.0,False
12172,F,N,N,3,Working,Secondary / secondary special,Married,House / apartment,37.512328767123286,9.602739726027398,1,1,1,0,5.0,False
12173,F,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,39.50684931506849,7.104109589041096,1,0,0,0,2.0,False
12174,M,N,N,0,Commercial associate,Secondary / secondary special,Married,House / apartment,55.01095890410959,9.602739726027398,1,1,1,0,2.0,False
12175,M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,41.14246575342466,0.8547945205479452,1,0,0,1,2.0,False
12176,M,Y,N,2,Commercial associate,Higher education,Single / not married,House / apartment,37.72328767123288,10.202739726027398,1,0,0,1,3.0,False
12177,F,N,Y,0,Working,Secondary / secondary special,Separated,House / apartment,49.99178082191781,26.2986301369863,1,1,1,0,1.0,False
12178,F,Y,Y,0,Working,Secondary / secondary special,Civil marriage,With parents,26.295890410958904,3.106849315068493,1,1,1,1,2.0,False
12179,M,Y,Y,0,Working,Higher education,Married,House / apartment,62.06849315068493,10.693150684931506,1,0,0,0,2.0,False
12180,M,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,56.68219178082192,1.9397260273972603,1,0,0,0,2.0,False
12181,F,N,Y,0,Working,Higher education,Single / not married,House / apartment,38.824657534246576,8.693150684931506,1,1,1,0,1.0,False
12182,F,N,Y,0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,64.28767123287672,-1000.6657534246576,1,0,0,0,1.0,False
12183,M,Y,N,0,Commercial associate,Secondary / secondary special,Married,House / apartment,31.328767123287676,5.605479452054794,1,1,1,0,2.0,False
12185,F,N,Y,1,Working,Incomplete higher,Separated,House / apartment,33.084931506849315,0.3534246575342465,1,0,0,0,2.0,False
12186,F,N,N,0,Working,Higher education,Married,House / apartment,31.56986301369863,6.038356164383561,1,0,0,0,2.0,False
12187,M,N,N,0,State servant,Secondary / secondary special,Single / not married,With parents,43.78630136986301,16.364383561643837,1,0,0,1,1.0,False
12188,M,N,Y,1,Commercial associate,Secondary / secondary special,Married,House / apartment,32.397260273972606,2.76986301369863,1,0,0,1,3.0,False
12189,F,N,Y,0,Working,Higher education,Separated,House / apartment,41.0027397260274,21.7013698630137,1,0,0,1,1.0,False
12190,F,N,Y,0,Working,Higher education,Widow,House / apartment,34.68493150684932,14.945205479452056,1,0,0,0,1.0,False
12191,M,Y,Y,0,Commercial associate,Secondary / secondary special,Separated,House / apartment,45.17808219178082,1.7643835616438357,1,0,0,0,1.0,False
12192,F,N,Y,1,Working,Higher education,Separated,House / apartment,45.35342465753425,6.767123287671233,1,0,0,1,2.0,False
12193,F,N,N,2,Working,Secondary / secondary special,Separated,Municipal apartment,40.21095890410959,14.687671232876712,1,0,0,0,3.0,False
12194,M,N,Y,0,Working,Higher education,Married,House / apartment,25.726027397260275,0.5945205479452055,1,0,0,1,2.0,False
12195,M,N,N,0,Working,Higher education,Married,House / apartment,32.92876712328767,4.263013698630137,1,0,0,1,2.0,False
12196,F,N,Y,0,State servant,Secondary / secondary special,Separated,House / apartment,53.945205479452056,34.035616438356165,1,0,1,1,1.0,False
12197,F,Y,Y,1,Commercial associate,Secondary / secondary special,Married,House / apartment,36.55068493150685,11.602739726027398,1,0,0,0,3.0,False
12198,M,Y,Y,1,Working,Secondary / secondary special,Single / not married,House / apartment,40.95616438356164,20.60821917808219,1,1,1,0,2.0,False
12201,F,N,Y,1,Working,Higher education,Single / not married,House / apartment,41.92602739726028,3.0986301369863014,1,0,0,0,2.0,False
12203,F,N,Y,0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,60.25205479452055,-1000.6657534246576,1,0,0,0,1.0,False
12204,M,N,Y,2,State servant,Higher education,Married,House / apartment,39.821917808219176,21.693150684931503,1,0,1,1,4.0,False
12205,F,Y,N,1,Commercial associate,Higher education,Married,Rented apartment,49.84657534246576,3.347945205479452,1,0,0,0,3.0,False
12206,F,Y,N,1,Working,Higher education,Married,House / apartment,42.24383561643835,10.01917808219178,1,0,0,0,3.0,False
12207,F,N,Y,0,Working,Higher education,Married,House / apartment,45.156164383561645,9.35068493150685,1,0,1,1,2.0,False
12208,F,N,Y,0,State servant,Secondary / secondary special,Married,House / apartment,45.342465753424655,8.76986301369863,1,0,1,1,2.0,False
12209,M,Y,Y,2,Working,Secondary / secondary special,Married,House / apartment,51.156164383561645,8.01917808219178,1,0,1,1,4.0,False
12210,F,Y,Y,0,Commercial associate,Higher education,Married,House / apartment,35.295890410958904,9.936986301369863,1,0,0,0,2.0,False
12212,F,Y,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,52.14520547945205,9.684931506849315,1,0,0,0,2.0,False
12213,F,Y,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,42.40547945205479,11.93972602739726,1,0,0,1,2.0,False
12214,M,N,Y,0,Commercial associate,Higher education,Married,House / apartment,42.52876712328767,2.8465753424657536,1,0,0,0,2.0,False
12215,M,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,51.57808219178082,1.5945205479452054,1,1,0,0,2.0,False
12216,M,Y,Y,0,Working,Higher education,Married,House / apartment,55.153424657534245,9.684931506849315,1,0,0,1,2.0,False
12217,F,N,Y,0,Working,Higher education,Married,House / apartment,35.45479452054794,5.263013698630137,1,0,0,0,2.0,False
12218,M,Y,Y,0,Commercial associate,Higher education,Civil marriage,House / apartment,48.04931506849315,1.6794520547945206,1,0,0,0,2.0,False
12219,F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,53.85753424657534,4.934246575342466,1,0,0,0,2.0,False
12220,F,N,Y,1,Working,Secondary / secondary special,Married,House / apartment,37.13972602739726,1.5123287671232877,1,1,0,0,3.0,False
12221,M,N,N,1,Working,Incomplete higher,Married,House / apartment,30.39178082191781,4.597260273972603,1,0,0,0,3.0,False
12222,F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,37.608219178082194,16.523287671232875,1,0,0,0,2.0,False
12223,F,Y,Y,1,Commercial associate,Secondary / secondary special,Married,House / apartment,47.38904109589041,1.4273972602739726,1,0,1,1,3.0,False
12224,M,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,33.33424657534247,1.9315068493150684,1,1,0,0,2.0,False
12225,F,Y,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,49.09041095890411,9.684931506849315,1,0,1,0,2.0,False
12226,F,N,Y,1,Working,Secondary / secondary special,Married,House / apartment,45.76438356164383,0.3616438356164383,1,1,0,0,3.0,False
12230,F,Y,Y,0,Working,Secondary / secondary special,Single / not married,With parents,32.24657534246575,0.7808219178082192,1,0,0,0,1.0,False
12233,F,N,Y,0,Working,Secondary / secondary special,Civil marriage,House / apartment,46.50410958904109,2.361643835616438,1,0,0,1,2.0,False
12234,F,N,Y,0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,61.47123287671233,-1000.6657534246576,1,0,1,0,1.0,False
12238,M,Y,Y,1,Commercial associate,Higher education,Married,House / apartment,41.36438356164384,4.279452054794521,1,0,0,1,3.0,False
12242,F,N,Y,2,Commercial associate,Secondary / secondary special,Married,House / apartment,40.153424657534245,1.610958904109589,1,0,0,0,4.0,False
12243,M,N,Y,0,Working,Secondary / secondary special,Married,With parents,26.26027397260274,0.947945205479452,1,0,0,0,2.0,False
12245,F,Y,Y,2,Working,Incomplete higher,Married,House / apartment,31.03287671232877,0.2767123287671232,1,1,1,0,4.0,False
12255,M,N,Y,1,Working,Higher education,Married,With parents,42.93150684931507,4.531506849315068,1,0,0,0,3.0,False
12258,F,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,53.43287671232877,27.8,1,0,0,1,2.0,False
12259,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,61.31780821917808,-1000.6657534246576,1,0,0,0,2.0,False
12265,M,N,Y,2,Working,Secondary / secondary special,Married,House / apartment,31.4027397260274,12.61917808219178,1,0,0,0,4.0,False
12267,M,Y,N,0,Working,Incomplete higher,Married,With parents,24.92054794520548,6.032876712328767,1,0,1,0,2.0,False
12270,F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,50.58904109589041,14.61917808219178,1,0,0,0,2.0,False
12271,F,N,Y,1,Working,Higher education,Married,House / apartment,39.7945205479452,16.372602739726027,1,1,0,0,3.0,False
12274,M,N,Y,0,Commercial associate,Higher education,Single / not married,House / apartment,25.704109589041096,5.613698630136986,1,0,1,1,1.0,False
12277,F,N,Y,1,Pensioner,Higher education,Married,House / apartment,51.9972602739726,-1000.6657534246576,1,0,1,0,3.0,False
12280,F,N,N,0,Working,Secondary / secondary special,Married,Municipal apartment,52.38356164383562,7.032876712328767,1,0,1,0,2.0,False
12286,M,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,48.131506849315066,1.7808219178082192,1,0,0,1,2.0,False
12290,F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,23.43013698630137,4.279452054794521,1,0,0,0,2.0,False
12292,M,N,N,0,Commercial associate,Higher education,Single / not married,House / apartment,28.805479452054797,0.2767123287671232,1,1,1,0,1.0,False
12293,M,Y,Y,0,Commercial associate,Higher education,Single / not married,House / apartment,29.69041095890411,1.610958904109589,1,0,0,1,1.0,False
12298,F,Y,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,33.59452054794521,1.947945205479452,1,0,1,1,2.0,False
12300,F,N,N,1,Working,Secondary / secondary special,Single / not married,Municipal apartment,34.83835616438356,14.61917808219178,1,0,0,0,2.0,False
12301,F,N,N,0,Working,Secondary / secondary special,Widow,House / apartment,51.12054794520548,1.115068493150685,1,0,0,0,1.0,False
12302,F,N,Y,0,Working,Secondary / secondary special,Single / not married,House / apartment,51.00547945205479,6.865753424657535,1,0,0,0,1.0,False
12305,F,N,Y,0,Pensioner,Secondary / secondary special,Widow,House / apartment,55.10410958904109,-1000.6657534246576,1,0,0,0,1.0,False
12307,F,Y,Y,1,Pensioner,Higher education,Married,House / apartment,44.40547945205479,-1000.6657534246576,1,0,1,1,3.0,False
12308,F,N,Y,1,Commercial associate,Secondary / secondary special,Married,House / apartment,49.6986301369863,11.284931506849317,1,0,0,0,3.0,False
12312,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,64.61643835616438,-1000.6657534246576,1,0,0,0,2.0,False
12313,M,N,Y,0,Working,Higher education,Single / not married,House / apartment,29.791780821917808,8.449315068493151,1,0,0,0,1.0,False
12318,M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,52.602739726027394,0.947945205479452,1,0,1,0,2.0,False
12321,F,Y,Y,0,State servant,Higher education,Married,House / apartment,48.827397260273976,25.71232876712329,1,1,0,0,2.0,False
12322,F,N,Y,0,State servant,Secondary / secondary special,Married,House / apartment,35.61095890410959,0.2767123287671232,1,0,1,0,2.0,False
12323,M,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,44.18082191780822,23.04383561643836,1,1,1,0,2.0,False
12324,F,N,Y,1,Commercial associate,Incomplete higher,Married,House / apartment,26.66849315068493,5.613698630136986,1,1,1,1,3.0,False
12330,M,Y,N,0,State servant,Secondary / secondary special,Civil marriage,House / apartment,39.013698630136986,9.7013698630137,1,0,0,0,2.0,False
12332,M,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,47.057534246575344,0.3616438356164383,1,0,0,0,2.0,False
12333,M,Y,Y,1,Working,Higher education,Married,House / apartment,47.10410958904109,3.115068493150685,1,0,0,0,3.0,False
12338,M,N,Y,0,Working,Higher education,Married,House / apartment,51.31232876712329,2.695890410958904,1,0,0,0,2.0,False
12339,F,Y,Y,0,Working,Secondary / secondary special,Civil marriage,House / apartment,42.41095890410959,4.446575342465754,1,0,0,0,2.0,False
12340,F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,57.46849315068493,4.865753424657535,1,0,0,0,2.0,False
12342,F,N,N,2,Commercial associate,Lower secondary,Civil marriage,House / apartment,26.29041095890411,6.698630136986301,1,0,0,1,4.0,False
12343,F,N,N,2,Working,Higher education,Civil marriage,House / apartment,40.23013698630137,9.953424657534246,1,0,0,0,4.0,False
12345,M,Y,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,50.18630136986302,2.5287671232876714,1,0,1,1,2.0,False
12347,F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,41.4,5.531506849315068,1,1,1,0,2.0,False
12351,F,N,Y,0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,53.67397260273973,-1000.6657534246576,1,0,1,0,1.0,False
12354,M,Y,Y,0,Working,Secondary / secondary special,Single / not married,House / apartment,26.471232876712328,2.276712328767123,1,0,0,0,1.0,False
